index_date;nominal_retail_sales_(index)
2003-01-01;31.037970680237
2003-02-01;33.6157866062395
2003-03-01;29.6149840208743
2003-04-01;31.9711408302885
2003-05-01;31.9163519019516
2003-06-01;31.249389740117
2003-07-01;32.260198054101
2003-08-01;31.9066014966954
2003-09-01;33.1832910069314
2003-10-01;33.9235127234136
2003-11-01;33.4961550043032
2003-12-01;34.4395570028481
2004-01-01;34.762981429879
2004-02-01;36.5536748382896
2004-03-01;36.1912397343154
2004-04-01;36.6175695633331
2004-05-01;37.0369996391103
2004-06-01;38.3636998463274
2004-07-01;38.8424575699634
2004-08-01;38.3658326470376
2004-09-01;39.177315628033
2004-10-01;39.4084970271476
2004-11-01;39.8647075500223
2004-12-01;41.6664183813079
2005-01-01;40.750846754008
2005-02-01;40.1530244355524
2005-03-01;40.9341122619843
2005-04-01;41.4986668455934
2005-05-01;40.7588356205518
2005-06-01;42.2736962622979
2005-07-01;41.3782063510472
2005-08-01;42.2696069978198
2005-09-01;41.7337659191493
2005-10-01;41.755303337013
2005-11-01;42.8691304822922
2005-12-01;44.6750162435755
2006-01-01;43.4992234385062
2006-02-01;42.9271309544624
2006-03-01;43.74383689311
2006-04-01;43.2321398927627
2006-05-01;44.9876964542375
2006-06-01;43.3087205739248
2006-07-01;44.6423339131611
2006-08-01;45.7679206792614
2006-09-01;46.0037369514094
2006-10-01;46.0943556914676
2006-11-01;47.1310639448049
2006-12-01;47.5804332059737
2007-01-01;47.6281171046488
2007-02-01;47.5624622349183
2007-03-01;49.2882900117939
2007-04-01;49.7970561334379
2007-05-01;51.0857885052856
2007-06-01;51.1065072923297
2007-07-01;51.3693251458972
2007-08-01;53.7978737224755
2007-09-01;52.7399644699699
2007-10-01;55.099582116898
2007-11-01;55.4070326668107
2007-12-01;54.8010314279113
2008-01-01;56.4945241205351
2008-02-01;58.1750682165182
2008-03-01;57.3679577018681
2008-04-01;60.0594910211348
2008-05-01;59.7540365440444
2008-06-01;61.4850072791649
2008-07-01;63.072133884785
2008-08-01;60.6469843551166
2008-09-01;64.0916945563697
2008-10-01;59.9369192237277
2008-11-01;56.2907087296861
2008-12-01;58.1278003265348
2009-01-01;59.9992032921405
2009-02-01;60.0712115562961
2009-03-01;62.5099310159529
2009-04-01;60.8920594075556
2009-05-01;62.3344219490909
2009-06-01;67.417851750576
2009-07-01;63.516081835171
2009-08-01;64.0403494262713
2009-09-01;69.2025783535221
2009-10-01;66.5537632129926
2009-11-01;65.3223374031878
2009-12-01;66.8823629929401
2010-01-01;66.9029336241936
2010-02-01;68.9682973727351
2010-03-01;77.3399665784331
2010-04-01;70.1690988896299
2010-05-01;70.9884331546546
2010-06-01;72.0569185000371
2010-07-01;73.3196681386313
2010-08-01;74.6799080217183
2010-09-01;75.8217883582221
2010-10-01;75.8445065257101
2010-11-01;78.3522568212331
2010-12-01;79.3194361607939
2011-01-01;76.3280148750307
2011-02-01;80.7704106847355
2011-03-01;77.8796795434256
2011-04-01;80.41453565691
2011-05-01;81.6360753147834
2011-06-01;80.6207203697681
2011-07-01;80.7583835949152
2011-08-01;81.5192011953331
2011-09-01;82.1621402844841
2011-10-01;79.4416634417424
2011-11-01;82.6367823885493
2011-12-01;84.331306011229
2012-01-01;84.0807183412586
2012-02-01;84.8995499041385
2012-03-01;87.2361413078972
2012-04-01;83.1791297993265
2012-05-01;87.0411167912367
2012-06-01;91.0403412387833
2012-07-01;89.3019345597234
2012-08-01;94.7202762191391
2012-09-01;85.7096911144877
2012-10-01;91.7902051962216
2012-11-01;90.0224963487339
2012-12-01;90.7278643695338
2013-01-01;92.2140177212477
2013-02-01;89.4430735853558
2013-03-01;94.3512152976546
2013-04-01;94.931580707539
2013-05-01;95.8360754510109
2013-06-01;95.132094732189
2013-07-01;97.9687320999953
2013-08-01;99.5281055457798
2013-09-01;96.8824522672805
2013-10-01;98.8510812369244
2013-11-01;99.9298050074299
2013-12-01;98.6437038124805
2014-01-01;100.853560036331
2014-02-01;101.290688104
2014-03-01;93.8063360322139
2014-04-01;100.605255399052
2014-05-01;102.603934541852
2014-06-01;95.1274865926555
2014-07-01;99.0419022664645
2014-08-01;98.6823462727771
2014-09-01;101.390614905385
2014-10-01;102.242497200782
2014-11-01;102.508004854442
2014-12-01;101.520378253184
2015-01-01;101.021569991042
2015-02-01;96.9503534992663
2015-03-01;98.5460058328494
2015-04-01;98.3749383373451
2015-05-01;98.5231010492589
2015-06-01;97.8488421368289
2015-07-01;99.0477771875361
2015-08-01;96.2905280083132
2015-09-01;96.9607849951547
2015-10-01;97.9487500654257
2015-11-01;96.2032779832923
2015-12-01;98.9338403934646
2016-01-01;95.4557037363624
2016-02-01;100.241884131183
2016-03-01;99.6707171107576
2016-04-01;97.9747491912082
2016-05-01;96.3916771272646
2016-06-01;98.2005233751004
2016-07-01;97.0562116065447
2016-08-01;97.1584063371047
2016-09-01;96.8270025712376
2016-10-01;95.5711621797859
2016-11-01;96.7974590941503
2016-12-01;98.1944907727751
2017-01-01;98.6400429345633
2017-02-01;97.9424834889359
2017-03-01;99.9304741923608
2017-04-01;98.4681836603492
2017-05-01;100.900315588665
2017-06-01;101.448818167273
2017-07-01;100.25445846653
2017-08-01;101.602532762012
2017-09-01;103.348518272257
2017-10-01;100.703262641862
2017-11-01;103.022596671369
2017-12-01;104.099622826106
2018-01-01;105.61166678304
2018-02-01;103.381567812619
2018-03-01;110.27374522449
2018-04-01;107.051855541961
2018-05-01;103.839047095196
2018-06-01;108.108540324158
2018-07-01;105.641640501006
2018-08-01;110.856647902062
