index_date,nominal_retail_sales_(index)
2003-02-01,-0.6000000000000014
2003-03-01,0.5
2003-04-01,0.9000000000000021
2003-05-01,1.2999999999999972
2003-06-01,-1.8999999999999986
2003-07-01,2.1000000000000014
2003-08-01,-0.10000000000000142
2003-09-01,0.20000000000000284
2003-10-01,2.0999999999999943
2003-11-01,-0.29999999999999716
2003-12-01,9.299999999999997
2004-01-01,-9.899999999999999
2004-02-01,-1.6999999999999993
2004-03-01,4.599999999999998
2004-04-01,-1.2999999999999972
2004-05-01,2.1000000000000014
2004-06-01,-0.30000000000000426
2004-07-01,1.8000000000000043
2004-08-01,0.0
2004-09-01,-0.6000000000000014
2004-10-01,1.8999999999999986
2004-11-01,0.6000000000000014
2004-12-01,11.700000000000003
2005-01-01,-13.0
2005-02-01,-4.400000000000006
2005-03-01,6.200000000000003
2005-04-01,-1.3999999999999986
2005-05-01,1.2999999999999972
2005-06-01,-0.29999999999999716
2005-07-01,0.5
2005-08-01,1.6000000000000014
2005-09-01,-2.200000000000003
2005-10-01,1.7999999999999972
2005-11-01,1.3000000000000043
2005-12-01,12.0
2006-01-01,-13.700000000000003
2006-02-01,-4.699999999999996
2006-03-01,6.599999999999994
2006-04-01,-2.5999999999999943
2006-05-01,4.0
2006-06-01,-3.5
2006-07-01,2.5999999999999943
2006-08-01,2.1000000000000014
2006-09-01,-1.6999999999999957
2006-10-01,2.0999999999999943
2006-11-01,1.1000000000000014
2006-12-01,10.800000000000004
2007-01-01,-12.800000000000004
2007-02-01,-4.5
2007-03-01,7.899999999999999
2007-04-01,-1.8999999999999986
2007-05-01,4.0
2007-06-01,-2.1000000000000014
2007-07-01,1.7000000000000028
2007-08-01,3.6000000000000014
2007-09-01,-3.200000000000003
2007-10-01,4.600000000000001
2007-11-01,0.20000000000000284
2007-12-01,10.899999999999991
2008-01-01,-12.699999999999996
2008-02-01,-3.3999999999999986
2008-03-01,6.299999999999997
2008-04-01,-0.09999999999999432
2008-05-01,3.0
2008-06-01,-0.8000000000000043
2008-07-01,3.200000000000003
2008-08-01,-1.1000000000000014
2008-09-01,1.1000000000000014
2008-10-01,-1.6000000000000014
2008-11-01,-4.100000000000001
2008-12-01,13.899999999999999
2009-01-01,-13.099999999999994
2009-02-01,-4.5
2009-03-01,9.099999999999994
2009-04-01,-4.199999999999996
2009-05-01,4.600000000000001
2009-06-01,2.5999999999999943
2009-07-01,-2.1999999999999957
2009-08-01,1.6000000000000014
2009-09-01,3.0
2009-10-01,0.0
2009-11-01,-1.9000000000000057
2009-12-01,15.5
2010-01-01,-16.89999999999999
2010-02-01,-2.9000000000000057
2010-03-01,15.599999999999994
2010-04-01,-10.0
2010-05-01,4.1000000000000085
2010-06-01,-1.2999999999999972
2010-07-01,2.8999999999999915
2010-08-01,2.5
2010-09-01,-1.2999999999999972
2010-10-01,3.0999999999999943
2010-11-01,1.7000000000000028
2010-12-01,17.60000000000001
2011-01-01,-22.700000000000003
2011-02-01,-1.2999999999999972
2011-03-01,5.299999999999997
2011-04-01,-0.6000000000000085
2011-05-01,4.5
2011-06-01,-3.5
2011-07-01,2.0
2011-08-01,1.9000000000000057
2011-09-01,-2.0999999999999943
2011-10-01,0.7999999999999972
2011-11-01,2.5999999999999943
2011-12-01,19.299999999999997
2012-01-01,-21.0
2012-02-01,-5.3999999999999915
2012-03-01,10.899999999999991
2012-04-01,-7.199999999999989
2012-05-01,6.8999999999999915
2012-06-01,1.1000000000000085
2012-07-01,0.5999999999999943
2012-08-01,6.599999999999994
2012-09-01,-12.199999999999989
2012-10-01,10.399999999999991
2012-11-01,-2.200000000000003
2012-12-01,19.400000000000006
2013-01-01,-20.599999999999994
2013-02-01,-9.5
2013-03-01,13.899999999999991
2013-04-01,-3.0
2013-05-01,3.799999999999997
2013-06-01,-3.3999999999999915
2013-07-01,5.3999999999999915
2013-08-01,2.5
2013-09-01,-6.199999999999989
2013-10-01,7.099999999999994
2013-11-01,1.0999999999999943
2013-12-01,18.60000000000001
2014-01-01,-21.400000000000006
2014-02-01,-7.799999999999997
2014-03-01,2.9000000000000057
2014-04-01,2.6999999999999886
2014-05-01,4.900000000000006
2014-06-01,-9.900000000000006
2014-07-01,6.6000000000000085
2014-08-01,0.3999999999999915
2014-09-01,-1.0
2014-10-01,6.200000000000003
2014-11-01,0.9000000000000057
2014-12-01,19.0
2015-01-01,-24.400000000000006
2015-02-01,-12.200000000000003
2015-03-01,11.5
2015-04-01,-4.299999999999997
2015-05-01,2.9000000000000057
2015-06-01,-2.9000000000000057
2015-07-01,3.799999999999997
2015-08-01,-1.7999999999999972
2015-09-01,-2.8999999999999915
2015-10-01,5.799999999999997
2015-11-01,-0.29999999999999716
2015-12-01,21.39999999999999
2016-01-01,-26.299999999999997
2016-02-01,-4.0
2016-03-01,9.200000000000003
2016-04-01,-5.400000000000006
2016-05-01,1.4000000000000057
2016-06-01,-0.5
2016-07-01,1.5
2016-08-01,1.2999999999999972
2016-09-01,-4.099999999999994
2016-10-01,3.1999999999999886
2016-11-01,3.5
2016-12-01,18.80000000000001
2017-01-01,-21.900000000000006
2017-02-01,-9.099999999999994
2017-03-01,10.899999999999991
2017-04-01,-4.599999999999994
2017-05-01,5.599999999999994
2017-06-01,-1.7999999999999972
2017-07-01,1.5999999999999943
2017-08-01,2.9000000000000057
2017-09-01,-2.700000000000003
2017-10-01,2.1000000000000085
2017-11-01,5.299999999999997
2017-12-01,18.0
2018-01-01,-21.799999999999997
2018-02-01,-10.800000000000011
2018-03-01,15.5
2018-04-01,-5.799999999999997
